"dias";"temperaturas"
"1";"30";"11;2;"
"2";"1";"16;0;"
"3";"2";"16;0;"
"4";"3";"16;0;"
"5";"4";"16;1;"
"6";"5";"22;2;"
"7";"6";"15;4;"
"8";"7";"12;6;"
"9";"8";"13;6;"
"10";"9";"15;6;"
"11";"10";"13;3;"
"12";"11";"--2;"
"13";"12";"15;2;"
"14";"13";"15;2;"
"15";"14";"16;4;"
"16";"15";"20;5;"
"17";"16";"20;7;"
"18";"17";"20;7;"
"19";"18";"20;7;"
"20";"19";"17;6;"
"21";"20";"15;4;"
"22";"21";"14;3;"
"23";"22";"15;4;"
"24";"23";"16;4;"
"25";"24";"16;4;"
"26";"25";"16;4;"
"27";"26";"Avg----"
"28";"27";"Avg----"
"29";"28";"Avg----"
"30";"29";"Avg----"
"31";"30";"Avg----"
"32";"31";"Avg----"
"33";"1";"Avg----"
"34";"2";"Avg----"
"35";"3";"Avg----"
