"dias";"temperaturas"
"1";"30";"11;2;"
"2";"1";"16;0;"
"3";"2";"16;0;"
"4";"3";"16;0;"
"5";"4";"16;1;"
"6";"5";"22;2;"
"7";"6";"15;4;"
"8";"7";"12;6;"
"9";"8";"13;6;"
"10";"9";"15;6;"
"11";"10";"13;3;"
"12";"11";"15;4;"
"13";"12";"14;4;"
"14";"13";"15;1;"
"15";"14";"16;1;"
"16";"15";"20;1;"
"17";"16";"--6;"
"18";"17";"17;6;"
"19";"18";"17;5;"
"20";"19";"16;6;"
"21";"20";"15;5;"
"22";"21";"11;0;"
"23";"22";"12;-1;"
"24";"23";"15;2;"
"25";"24";"18;4;"
"26";"25";"19;3;"
"27";"26";"18;4;"
"28";"27";"18;5;"
"29";"28";"19;6;"
"30";"29";"19;6;"
"31";"30";"18;6;"
"32";"31";"Avg----"
"33";"1";"Avg----"
"34";"2";"Avg----"
"35";"3";"Avg----"
