"dias";"temperaturas"
"1";"30";"11;2;"
"2";"1";"16;0;"
"3";"2";"16;0;"
"4";"3";"16;0;"
"5";"4";"16;1;"
"6";"5";"22;2;"
"7";"6";"15;4;"
"8";"7";"12;6;"
"9";"8";"13;6;"
"10";"9";"15;6;"
"11";"10";"13;3;"
"12";"11";"15;4;"
"13";"12";"14;4;"
"14";"13";"15;1;"
"15";"14";"16;1;"
"16";"15";"20;1;"
"17";"16";"20;4;"
"18";"17";"15;3;"
"19";"18";"18;6;"
"20";"19";"16;4;"
"21";"20";"16;5;"
"22";"21";"8;2;"
"23";"22";"--1;"
"24";"23";"13;0;"
"25";"24";"18;2;"
"26";"25";"13;2;"
"27";"26";"15;4;"
"28";"27";"17;4;"
"29";"28";"17;5;"
"30";"29";"18;6;"
"31";"30";"20;7;"
"32";"31";"19;5;"
"33";"1";"18;5;"
"34";"2";"17;4;"
"35";"3";"16;3;"
