"dias";"temperaturas"
"1";"30";"11;2;"
"2";"1";"16;0;"
"3";"2";"16;0;"
"4";"3";"16;0;"
"5";"4";"16;1;"
"6";"5";"22;2;"
"7";"6";"15;4;"
"8";"7";"12;6;"
"9";"8";"13;6;"
"10";"9";"15;6;"
"11";"10";"13;3;"
"12";"11";"15;4;"
"13";"12";"--2;"
"14";"13";"15;2;"
"15";"14";"16;3;"
"16";"15";"20;5;"
"17";"16";"19;6;"
"18";"17";"20;7;"
"19";"18";"19;6;"
"20";"19";"16;6;"
"21";"20";"14;4;"
"22";"21";"12;2;"
"23";"22";"14;2;"
"24";"23";"14;2;"
"25";"24";"16;3;"
"26";"25";"17;5;"
"27";"26";"18;4;"
"28";"27";"Avg----"
"29";"28";"Avg----"
"30";"29";"Avg----"
"31";"30";"Avg----"
"32";"31";"Avg----"
"33";"1";"Avg----"
"34";"2";"Avg----"
"35";"3";"Avg----"
