"dias";"temperaturas";"lista"
"1";"30 julio";"11;2;";6.5
"2";"1 julio";"16;0;";8
"3";"2 julio";"16;0;";8
"4";"3 julio";"--3;";NA
"5";"4 julio";"17;4;";10.5
"6";"5 julio";"23;9;";16
"7";"6 julio";"18;7;";12.5
"8";"7 julio";"15;9;";12
"9";"8 julio";"17;6;";11.5
"10";"9 julio";"18;6;";12
"11";"10 julio";"16;5;";10.5
"12";"11 julio";"14;4;";9
"13";"12 julio";"14;2;";8
"14";"13 julio";"13;2;";7.5
"15";"14 julio";"14;2;";8
"16";"15 julio";"14;2;";8
"17";"16 julio";"15;3;";9
"18";"17 julio";"15;3;";9
"19";"18 julio";"Avg----";NA
"20";"19 julio";"Avg----";NA
"21";"20 julio";"Avg----";NA
"22";"21 julio";"Avg----";NA
"23";"22 julio";"Avg----";NA
"24";"23 julio";"Avg----";NA
"25";"24 julio";"Avg----";NA
"26";"25 julio";"Avg----";NA
"27";"26 julio";"Avg----";NA
"28";"27 julio";"Avg----";NA
"29";"28 julio";"Avg----";NA
"30";"29 julio";"Avg----";NA
"31";"30 julio";"Avg----";NA
"32";"31 julio";"Avg----";NA
"33";"1 julio";"Avg----";NA
"34";"2 julio";"Avg----";NA
"35";"3 julio";"Avg----";NA
