"dias";"temperaturas"
"1";"30";"11;2;"
"2";"1";"16;0;"
"3";"2";"16;0;"
"4";"3";"16;0;"
"5";"4";"16;1;"
"6";"5";"22;2;"
"7";"6";"15;4;"
"8";"7";"12;6;"
"9";"8";"13;6;"
"10";"9";"15;6;"
"11";"10";"--5;"
"12";"11";"13;2;"
"13";"12";"15;2;"
"14";"13";"15;2;"
"15";"14";"16;4;"
"16";"15";"20;5;"
"17";"16";"19;7;"
"18";"17";"19;7;"
"19";"18";"19;6;"
"20";"19";"16;5;"
"21";"20";"15;5;"
"22";"21";"15;4;"
"23";"22";"15;4;"
"24";"23";"16;4;"
"25";"24";"17;4;"
"26";"25";"Avg----"
"27";"26";"Avg----"
"28";"27";"Avg----"
"29";"28";"Avg----"
"30";"29";"Avg----"
"31";"30";"Avg----"
"32";"31";"Avg----"
"33";"1";"Avg----"
"34";"2";"Avg----"
"35";"3";"Avg----"
