"dias";"temperaturas";"lista"
"1";"30 julio";"11;2;";6.5
"2";"1 julio";"--1;";NA
"3";"2 julio";"15;3;";9
"4";"3 julio";"16;3;";9.5
"5";"4 julio";"16;4;";10
"6";"5 julio";"22;9;";15.5
"7";"6 julio";"19;6;";12.5
"8";"7 julio";"16;7;";11.5
"9";"8 julio";"16;6;";11
"10";"9 julio";"16;6;";11
"11";"10 julio";"16;5;";10.5
"12";"11 julio";"14;4;";9
"13";"12 julio";"14;3;";8.5
"14";"13 julio";"14;4;";9
"15";"14 julio";"14;3;";8.5
"16";"15 julio";"14;3;";8.5
"17";"16 julio";"Avg----";NA
"18";"17 julio";"Avg----";NA
"19";"18 julio";"Avg----";NA
"20";"19 julio";"Avg----";NA
"21";"20 julio";"Avg----";NA
"22";"21 julio";"Avg----";NA
"23";"22 julio";"Avg----";NA
"24";"23 julio";"Avg----";NA
"25";"24 julio";"Avg----";NA
"26";"25 julio";"Avg----";NA
"27";"26 julio";"Avg----";NA
"28";"27 julio";"Avg----";NA
"29";"28 julio";"Avg----";NA
"30";"29 julio";"Avg----";NA
"31";"30 julio";"Avg----";NA
"32";"31 julio";"Avg----";NA
"33";"1 julio";"Avg----";NA
"34";"2 julio";"Avg----";NA
"35";"3 julio";"Avg----";NA
