"dias";"temperaturas"
"1";"30";"11;2;"
"2";"1";"16;0;"
"3";"2";"16;0;"
"4";"3";"16;0;"
"5";"4";"16;1;"
"6";"5";"22;2;"
"7";"6";"15;4;"
"8";"7";"12;6;"
"9";"8";"13;6;"
"10";"9";"15;6;"
"11";"10";"13;3;"
"12";"11";"15;4;"
"13";"12";"14;4;"
"14";"13";"15;1;"
"15";"14";"16;1;"
"16";"15";"--5;"
"17";"16";"20;7;"
"18";"17";"17;7;"
"19";"18";"18;6;"
"20";"19";"17;7;"
"21";"20";"16;5;"
"22";"21";"10;1;"
"23";"22";"12;0;"
"24";"23";"14;2;"
"25";"24";"17;4;"
"26";"25";"18;4;"
"27";"26";"18;5;"
"28";"27";"19;5;"
"29";"28";"18;5;"
"30";"29";"18;5;"
"31";"30";"Avg----"
"32";"31";"Avg----"
"33";"1";"Avg----"
"34";"2";"Avg----"
"35";"3";"Avg----"
