"dias";"temperaturas";"lista"
"1";"30 julio";"11;2;";6.5
"2";"1 julio";"16;0;";8
"3";"2 julio";"16;0;";8
"4";"3 julio";"16;0;";8
"5";"4 julio";"16;1;";8.5
"6";"5 julio";"22;2;";12
"7";"6 julio";"15;4;";9.5
"8";"7 julio";"12;6;";9
"9";"8 julio";"--4;";NA
"10";"9 julio";"15;3;";9
"11";"10 julio";"13;4;";8.5
"12";"11 julio";"13;2;";7.5
"13";"12 julio";"14;2;";8
"14";"13 julio";"13;1;";7
"15";"14 julio";"14;3;";8.5
"16";"15 julio";"17;5;";11
"17";"16 julio";"17;5;";11
"18";"17 julio";"15;4;";9.5
"19";"18 julio";"15;4;";9.5
"20";"19 julio";"15;4;";9.5
"21";"20 julio";"15;4;";9.5
"22";"21 julio";"15;4;";9.5
"23";"22 julio";"15;4;";9.5
"24";"23 julio";"Avg----";NA
"25";"24 julio";"Avg----";NA
"26";"25 julio";"Avg----";NA
"27";"26 julio";"Avg----";NA
"28";"27 julio";"Avg----";NA
"29";"28 julio";"Avg----";NA
"30";"29 julio";"Avg----";NA
"31";"30 julio";"Avg----";NA
"32";"31 julio";"Avg----";NA
"33";"1 julio";"Avg----";NA
"34";"2 julio";"Avg----";NA
"35";"3 julio";"Avg----";NA
