"dias";"temperaturas"
"1";"30";"11;2;"
"2";"1";"16;0;"
"3";"2";"16;0;"
"4";"3";"16;0;"
"5";"4";"16;1;"
"6";"5";"22;2;"
"7";"6";"15;4;"
"8";"7";"12;6;"
"9";"8";"13;6;"
"10";"9";"15;6;"
"11";"10";"14;4;"
"12";"11";"13;2;"
"13";"12";"15;3;"
"14";"13";"15;4;"
"15";"14";"14;2;"
"16";"15";"18;6;"
"17";"16";"18;6;"
"18";"17";"17;6;"
"19";"18";"17;5;"
"20";"19";"15;5;"
"21";"20";"16;5;"
"22";"21";"14;4;"
"23";"22";"15;4;"
"24";"23";"15;4;"
"25";"24";"----"
"26";"25";"Avg----"
"27";"26";"Avg----"
"28";"27";"Avg----"
"29";"28";"Avg----"
"30";"29";"Avg----"
"31";"30";"Avg----"
"32";"31";"Avg----"
"33";"1";"Avg----"
"34";"2";"Avg----"
"35";"3";"Avg----"
